응급의료기관명,소재지,연락처,위도,경도
광주일곡병원,광주광역시 북구 양일로 309,062-608-7119,35.20286056,126.8976065
운암한국병원,광주광역시 북구 북문대로 191,062-608-8119,35.18504384,126.8696311
하남성심병원,광주광역시 광산구 용아로 259,062-958-1250,35.16636669,126.8008683
첨단종합병원,광주광역시 광산구 첨단중앙로170번길 59,062-601-8119,35.22110389,126.8452961
신가병원,광주광역시 광산구 목련로 316,062-610-8129,35.17741693,126.8296948
광주수완병원,광주광역시 광산구 임방울대로 370,062-958-1119,35.19311122,126.8241986
광주센트럴병원,광주광역시 광산구 수완로 6,062-950-5119,35.18548456,126.829278
KS병원,광주광역시 광산구 왕버들로 220,062-975-9119,35.19793288,126.8331571
한림대학교부속 춘천성심병원,춘천시 삭주로 77,033-252-9970,37.88429816,127.740165
강원대학교병원,춘천시 백령로 156,033-258-2000,37.87577507,127.745011
연세대학교 원주 세브란스기독병원,원주시 일산로 20,033-741-1162,37.34911654,127.9467258
강원특별자치도 원주의료원,원주시 서원대로 387,033-761-6911,37.33280481,127.9490405
의료법인 성지의료재단 성지병원,원주시 원일로 22,033-760-3100,37.34551452,127.9541962
강릉아산병원,강릉시 사천면 방동길 38,033-610-3114,37.81840297,128.8578245
강릉동인병원,강릉시 강릉대로 419번길 42,033-651-6161,37.77448055,128.9074373
강원특별자치도 강릉의료원,강릉시 경강로 2007,033-646-6910,37.74990581,128.8890361
동해동인병원,동해시 하평로 26,033-532-3006,37.53058809,129.1071335
근로복지공단 동해병원,동해시 하평로 11,033-530-3100,37.53225063,129.1060358
근로복지공단 태백병원,태백시 보드미길 8,033-581-6081,37.10426522,129.0034561
강원특별자치도 속초의료원,속초시 영랑호반길 3,033-632-6821,38.21605488,128.5878903
속초보광병원,속초시 중앙로 11,033-639-8500,38.1981025,128.5787296
강원특별자치도 삼척의료원,삼척시 오십천로 418,033-572-1141,37.44032717,129.1633428
홍천아산병원,홍천군 산림공원1길 17,033-433-8811,37.69111282,127.8954293
횡성대성병원,횡성군 횡성로 275,033-343-0901,37.47843718,127.9799271
강원특별자치도 영월의료원,영월군 중앙1로 59,033-370-9101,37.18649625,128.4657014
평창군보건의료원,평창군 노성로 11,033-332-4000,37.3689174,128.3907534
근로복지공단 정선병원,정선군 봉양1길 145,033-560-7100,37.38324548,128.6603128
철원병원,철원군 명성로 208,033-452-5011,38.15005479,127.3076202
화천군보건의료원,화천군 강변로 111,033-442-7115,38.10738275,127.709078
양구성심병원,양구군 중심로 160,033-480-8800,38.10469934,127.9911989
의료법인 길의료재단 길병원,"인천광역시남동구 남동대로774번길21(구월동, 가천대학교길병원)",032-460-3548,37.45209939,126.7096948
인하대학교의과대학부속병원,인천광역시중구 인항로 27(신흥동3가),032-890-2114,37.45885397,126.6341642
가톨릭관동대학교인천성모병원,인천광역시부평구 동수로 56(동수로),032-280-6364,37.48413218,126.7252071
가톨릭관동대학교국제성모병원,"인천광역시서구 심곡로100번길 25(심곡동, 인천국제성모병원)",1600-8291,37.54234309,126.6835686
검단탑병원,인천광역시서구 청마로19번길 5(당하동),032-590-0114,37.59262439,126.6707157
인천세종병원,"인천광역시계양문화로 20,(작전동)",032-240-8000,37.53253936,126.7368531
의료법인 나사렛의료재단 나사렛국제병원,"인천광역시연수구 먼우금로 98(동춘동, 나사렛국제병원)",032-899-9999,37.40794902,126.6704838
의료법인 루가의료재단 나은병원,"인천광역시서구 원적로 23(가좌동, 원적로 27번길 11(가좌동))",032-584-0114,37.48905901,126.6797832
인천사랑병원,인천광역시미추홀구 미추홀대로 726(주안동),032-457-2000,37.46219786,126.6806843
안은의료재단부평세림병원,"인천광역시부평구 부평대로 175(청천동,세림병원)",032-509-5555,37.50674185,126.7199354
한림병원,인천광역시계양구 장제로 722(작전동),032-540-9114,37.53224703,126.7343347
비에스종합병원,인천광역시강화군 강화읍 충렬사로31,032-290-0001,37.73604762,126.485992
온누리병원,인천광역시서구 완정로 199(왕길동),032-567-6200,37.60279608,126.6543304
의료법인 성세의료재단 뉴 성민병원,"인천광역시서구 칠천왕로33번길 17(석남동, 신석로70(석남1동, 성민병원))",032-726-1000,37.50918616,126.6697416
인천광역시의료원,"인천광역시동구 방축로 217(송림동, 인천광역시 의료원)",032-580-6000,37.47881528,126.6686645
현대유비스병원,인천광역시미추홀구 독배로 503(숭의동),032-888-7575,37.46161107,126.6430071
인천광역시의료원백령병원,"인천광역시옹진군 백령면 백령로 233, 인천광역시의료원 백령병원",032-836-1731,37.96795035,124.7210896
인천힘찬종합병원,"인천광역시인천 남동구 논현로 72-0(논현동, 인천힘찬종합병원)",032-1899-2220,37.40106232,126.7146868
인천적십자병원,인천광역시연수구 원인재로 263,032-899-4000,37.41842755,126.6899325
인천백병원,인천광역시동구 샛골로 214,032-777-7050,37.48171344,126.6458316
제주한라병원,제주특별자치도 제주시 도령로 65(연동),064-740-5156,33.49047016,126.4847796
제주대학교병원,제주특별자치도 제주시 아란13길 15(아라일동),064-717-1114,33.46720852,126.545201
서귀포의료원,제주특별자치도 서귀포시 장수로 47(동홍동),064-730-3001,33.25598099,126.5629489
한마음병원,제주특별자치도 제주시 연신로 52(이도이동),064-750-9119,33.49628681,126.5462386
중앙병원,제주특별자치도 제주시 월랑로 91(이호이동),064-786-7777,33.49232117,126.4704807
한국병원,제주특별자치도 제주시 서광로 193(삼도일동),064-750-0161,33.50039153,126.5167292
학교법인울산공업학원울산대학교병원,"울산광역시 동구 대학병원로 25, 울산대학교병원 (전하동)",052-250-7000,35.52000152,129.4290661
의료법인동강의료재단동강병원,울산광역시 중구 태화로 239 (태화동),052-241-1114,35.55342305,129.3020946
울산병원,울산광역시 남구 월평로171번길 13 (신정동),052-259-5000,35.54622112,129.3231089
의료법인정안의료재단중앙병원,"울산광역시 남구 문수로 472, 중앙병원 (신정동)",052-226-1100,35.53223367,129.3046473
의료법인송은의료재단울산시티병원,울산광역시 북구 산업로 1007 (연암동),052-280-9000,35.58281565,129.3590176
좋은삼정병원,울산광역시 남구 북부순환도로 51 (무거동),052-220-7500,35.55280354,129.2690229
서울산보람병원,"울산광역시 울주군 삼남읍 중평로 53, 서울산보람병원",052-255-7114,35.56029738,129.1208518
의료법인동강의료재단동천동강병원,"울산광역시 중구 외솔큰길 215 (남외동, 동천동강병원)",052-702-3114,35.56854775,129.3504773
의료법인에스엠씨의료재단울산세민병원,울산광역시 중구 학성로 184 (학성동),052-290-0114,35.55658584,129.3309707
굿모닝병원,울산광역시 남구 삼산로 110 (달동),052-259-9000,35.53494,129.3198491
(의)내경의료재단울산제일병원,울산광역시 남구 남산로354번길 26 (신정동),052-220-3300,35.54826497,129.3069308
울산엘리야병원,울산광역시 북구 호계로 285 (호계동),052-290-2100,35.62890055,129.3505838
안동병원,경북 안동시 앙실로 11,054-840-1119,36.54672896,128.7011306
차의과학대학교부속 구미차병원,경북 구미시 신시로 10길 12,054-450-9997,36.11460777,128.3404633
포항성모병원,경북 포항시 남구 대잠동길 17,054-260-8119,36.01582804,129.3399003
포항세명기독병원,경북 포항시 남구 포스코대로 351,054-289-1711,36.01810033,129.3615685
*동국대학교의과대학경주병원,경북 경주시 동대로 87,054-770-8306,35.85850364,129.1928772
김천제일병원,경북 김천시 신음1길 12,054-420-9500,36.13545403,128.1188241
안동성소병원,경북 안동시 서동문로 99,054-850-8282,36.56715827,128.7227103
순천향대부속구미병원,경북 구미시 1공단로 179,054-468-9119,36.10341593,128.3821703
(의)동춘의료재단문경제일병원,경북 문경시 당교3길 25,054-550-7777,36.58447542,128.1893287
경상북도포항의료원,경북 포항시 북구 용흥로 36,054-245-0129,36.03507177,129.3537829
에스포항병원,경북 포항시 남구 희망대로 352,054-289-9000,36.03482448,129.3314023
좋은선린병원,경북 포항시 북구 대신로 43,054-245-5200,36.04770524,129.3670226
경상북도김천의료원,경북 김천시 모암길 24,054-429-8234,36.12266995,128.1260004
경상북도안동의료원,경북 안동시 태사2길 55,054-850-6100,36.5682168,128.732067
구미강동병원,경북 구미시 인동 20길 46,054-478-9521,36.09620388,128.4227831
영주기독병원,경북 영주시 구성로 380 ,054-635-3050,36.82530568,128.6209383
영주적십자병원,경북 영주시 대학로 327,054-630-0100,36.8252567,128.6040043
영남대학교부속 영천병원,경북 영천시 오수1길 10,054-338-7575,35.95709073,128.9127796
상주적십자병원,경북 상주시 상서문로 53,054-530-3171,36.41442416,128.1551643
상주성모병원,경북 상주시 냉림서성길 9,054-530-7811,36.41997587,128.1598004
(의)서명의료재단세명병원,경북 경산시 경안로 208,053-819-8500,35.8266563,128.7372893
경산중앙병원,경북 경산시 경안로 11,053-715-0119,35.80928742,128.7400775
영남제일병원,경북 의성군 안계면 용기4길 36,054-862-9920,36.38907658,128.4342594
청송군보건의료원,경북 청송군 청송읍 의료원길 19,054-870-7119,36.43114271,129.051771
청도대남병원,경북 청도군 화양읍 청화로 79-7,054-370-5112,35.64862882,128.7368061
고령영생병원,경북 고령군 대가야읍 중앙로 33,070-4700-0730,35.72997811,128.2721569
예천권병원,경북 예천군 예천읍 시장로 136,054-653-8912,36.65737684,128.4589861
울진군의료원,경북 울진군 울진읍 현내항길 71,054-785-7119,36.99224867,129.4099926
울릉군보건의료원,경북 울릉군 울릉읍 울릉순환로 396-18,054-790-6911,37.48594062,130.8994626
목포한국병원,전라남도 목포시 영산로 483 (상동),061-270-5666,34.80932976,126.4163196
성가롤로병원,전라남도 순천시 순광로 221 (조례동),061-720-6119,34.96375005,127.542936
화순전남대학교병원,전라남도 화순군 화순읍 서양로 322,061-379-8882,35.06111676,127.0032137
여천전남병원,"전라남도 여수시 무선로 95, (선원동)",061-690-6118,34.7690278,127.6542285
의료법인목포구암의료재단 목포중앙병원,전라남도 목포시 영산로 627 (석현동),061-280-3119,34.82125649,126.4217812
광양사랑병원,전라남도 광양시 공영로 71 (중동),061-797-7119,34.93616324,127.6971527
나주종합병원,전라남도 나주시 영산로 5419 (성북동),061-330-6112,35.03674475,126.7215617
대송의료재단무안병원,전라남도 무안군 무안읍 몽탄로 65,061-450-3119,34.99141268,126.489248
목포기독병원,전라남도 목포시 백년대로 303 (상동),061-280-7119,34.80423643,126.4202261
목포시의료원,전라남도 목포시 이로로 18,061-260-6400,34.80395364,126.40537
순천제일병원,전라남도 순천시 기적의도서관1길 3 (조례동),061-720-3800,34.95490333,127.5242014
여수전남병원,"전라남도 여수시 좌수영로 49 (광무동, 전남병원)",061-640-7118,34.74512097,127.7281943
영광종합병원,"전라남도 영광군 영광읍 와룡로 3,",061-350-8129,35.28413424,126.4980041
의료법인 거명의료재단 영광기독병원,전라남도 영광군 영광읍 신남로 265,061-350-3080,35.2749458,126.5109174
의료법인 우범의료재단 장흥종합병원,전라남도 장흥군 장흥읍 흥성로 74,061-860-1119,34.67713805,126.9113683
의료법인영성의료재단고흥종합병원,전라남도 고흥군 고흥읍 고흥로 1935,061-830-3119,34.62169018,127.2942497
의료법인한국의료재단 순천한국병원,전라남도 순천시 우명길 42 (연향동),061-740-5119,34.94778492,127.5124458
의료법인해민의료재단 세안종합병원,전라남도 목포시 고하대로 795-2 (연산동),061-260-6666,34.81692596,126.3802247
의료법인행촌의료재단 해남종합병원,전라남도 해남군 해남읍 해남로 45,061-530-0119,34.57106584,126.6125027
해남우리종합병원,전라남도 해남군 옥천면 해남로 597,061-530-7119,34.58437916,126.6468959
곡성사랑병원,전라남도 곡성군 곡성읍 곡성로 761,061-360-6008,35.2762788,127.2879496
구례병원,전라남도 구례군 구례읍 동편제길 4,061-783-9119,35.2156858,127.4634803
담양사랑병원,전라남도 담양군 담양읍 천변7길 19,061-380-9119,35.31530183,126.9825662
아산사회복지재단보성아산병원,"전라남도 보성군 미력면 가평길 36-17,",061-850-3118,34.77597409,127.1034062
완도대성병원,"전라남도 완도군 완도읍 청해진동로 63,",061-554-9500,34.31648955,126.735436
의료법인삼호의료재단 삼호병원,"전라남도 보성군 벌교읍 남하로 12,",061-859-5119,34.83355138,127.3462327
의료법인신안대우병원,전라남도 신안군 비금면 송치길 155-11,061-262-3301,34.72224959,125.9325064
의료법인장호의료재단녹동현대병원,"전라남도 고흥군 도양읍 차경구렁목길 215,",061-840-1119,34.54621895,127.1457286
의료법인한마음의료재단여수제일병원,전라남도 여수시 쌍봉로 70 (학동),061-689-8118,34.76597269,127.6635396
의료법인행복나눔의료재단 장성병원,전라남도 장성군 장성읍 역전로 171,061-390-9119,35.30571429,126.784095
장흥우리병원,전라남도 장흥군 장흥읍 흥성로 83,061-860-0119,34.67838157,126.9111122
전라남도강진의료원,전라남도 강진군 강진읍 탐진로 5,061-430-1109,34.63749893,126.7581407
전라남도순천의료원,전라남도 순천시 서문성터길 2 (매곡동),061-759-9119,34.95873378,127.482766
진도한국병원,전라남도 진도군 진도읍 남문길 48,061-542-7575,34.48254961,126.2640747
영암한국병원,전라남도 영암군 영암읍 오리정길 8,061-470-7118,34.79398467,126.701381
순천중앙병원,전라남도 순천시 장명로 5 (장천동),061-749-5000,34.95165618,127.4844108
빛가람종합병원,전라남도 나주시 정보화길 49(빛가람동),061-820-0909,35.02420484,126.7987474
가톨릭대학교여의도성모병원,"서울특별시 영등포구 63로 10, 여의도성모병원 (여의도동)",02-1661-7575,37.51827081,126.9367298
가톨릭대학교은평성모병원,서울특별시 은평구 통일로 1021 (진관동),02-1811-7755,37.6336094,126.9161525
강남고려병원,서울특별시 관악구 관악로 242 (봉천동),1661-8267,37.48561884,126.9567817
강남베드로병원,"서울특별시 강남구 남부순환로 2649, 베드로병원 (도곡동)",1544-7522,37.48561056,127.0395854
강남힐병원,"서울특별시 관악구 남부순환로 1449, 강남힐병원 (신림동)",02-853-4600,37.48165134,126.9116481
강동경희대학교의대병원,서울특별시 강동구 동남로 892 (상일동),02-440-7114,37.55204593,127.1570848
강북삼성병원,서울특별시 종로구 새문안로 29 (평동),02-2001-2001,37.56886773,126.9678127
강북으뜸병원,"서울특별시 강북구 도봉로 187, 지하1층, 지상1층~지상5층 (미아동)",02-986-0334,37.62542056,127.0261845
강서케이병원,"서울특별시 강서구 가로공원로 187, 강서케이병원 (화곡동)",02-1833-7530,37.53735762,126.836699
건국대학교병원,서울특별시 광진구 능동로 120-1 (화양동),1588-1533,37.54123563,127.0720558
경찰병원,"서울특별시 송파구 송이로 123, 국립경찰병원 (가락동)",02-3400-1114,37.49641457,127.1234875
경희대학교병원,서울특별시 동대문구 경희대로 23 (회기동),02-958-8114,37.59377621,127.0507417
고려대학교의과대학부속구로병원,"서울특별시 구로구 구로동로 148, 고려대부속구로병원 (구로동)",02-2626-1114,37.49115033,126.884511
구로성심병원,"서울특별시 구로구 경인로 427, 구로성심병원 (고척동)",02-2067-1500,37.49964687,126.8663582
국립중앙의료원,"서울특별시 중구 을지로 245, 국립중앙의료원 (을지로6가)",02-2260-7114,37.56772646,127.0054846
기쁨병원,"서울특별시 서초구 서초중앙로 4, 기쁨병원 (서초동)",02-570-1234,37.48271303,127.0180635
노원을지대학교병원,"서울특별시 노원구 한글비석로 68, 을지병원 (하계동)",02-970-8000,37.63611065,127.0696811
녹색병원,서울특별시 중랑구 사가정로49길 53 (면목동),02-490-2000,37.58356398,127.0860604
대림성모병원,"서울특별시 영등포구 시흥대로 657 (대림동, 대림성모병원)",02-829-9000,37.49068979,126.9071673
더드림병원,"서울특별시 강남구 선릉로 404, 더드림병원 (대치동)",02-1661-1177,37.50099026,127.0509673
명지성모병원,"서울특별시 영등포구 도림로 156, 명지성모병원 (대림동)",02-1899-1475,37.49385008,126.8992537
미즈메디병원,서울특별시 강서구 강서로 295 (내발산동),1588-2701,37.55218274,126.8358573
부민병원,"서울특별시 강서구 공항대로 389, 부민병원 (등촌동)",1577-7582,37.55686284,126.8509048
삼성서울병원,"서울특별시 강남구 일원로 81 (일원동, 삼성의료원)",02-3410-2114,37.49034451,127.0895902
삼육서울병원,서울특별시 동대문구 망우로 82 (휘경동),02-2244-0191,37.58621194,127.0635533
서울대학교병원,서울특별시 종로구 대학로 101 (연건동),02-1588-5700,37.58045239,126.9971964
서울대학교치과병원,서울특별시 종로구 대학로 101 (연건동),1522-2700,37.58045239,126.9971964
서울성심병원,"서울특별시 동대문구 왕산로 259, 서울성심병원 (청량리동)",02-966-1616,37.58418905,127.0498198
서울적십자병원,"서울특별시 종로구 새문안로 9, 적십자병원 (평동)",02-2002-8000,37.56676301,126.9672025
서울특별시동부병원,서울특별시 동대문구 무학로 124 (용두동),02-920-9114,37.57535399,127.0315127
서울특별시보라매병원,서울특별시 동작구 보라매로5길 20 (신대방동),02-870-2114,37.49301375,126.9243325
서울특별시서남병원,서울특별시 양천구 신정이펜1로 20 (신정동),1566-6688,37.51202035,126.8331315
서울특별시서울의료원,서울특별시 중랑구 신내로 156 (신내동),02-2276-7000,37.61309131,127.099187
서울현대병원,"서울특별시 강북구 도봉로 374 (번동, 서울현대병원)",02-1588-6853,37.64025592,127.0285044
성심의료재단강동성심병원,서울특별시 강동구 성안로 150 (길동),02-2224-2114,37.53615555,127.1353357
성애의료재단성애병원,"서울특별시 영등포구 여의대방로53길 22 (신길동, 성애병원)",02-840-7114,37.51205054,126.9223691
세란병원,서울특별시 종로구 통일로 256 (무악동),02-737-0181,37.57533927,126.9577083
순천향대학교 부속 서울병원,서울특별시 용산구 대사관로 59 (한남동),02-709-9114,37.53428084,127.003878
신촌연세병원,"서울특별시 마포구 서강로 110, 지2층~6층 (신수동)",02-337-7582,37.55258927,126.9337347
씨엠병원,"서울특별시 영등포구 영등포로36길 13 (영등포동4가, 충무병원)",02-2678-0001,37.51881591,126.9038759
연세대학교의과대학강남세브란스병원,"서울특별시 강남구 언주로 211, 강남세브란스병원 (도곡동)",02-2019-3114,37.49280599,127.0463104
연세대학교의과대학세브란스병원,서울특별시 서대문구 연세로 50-1 (신촌동),02-2228-0114,37.56367404,126.9419177
우리들병원,서울특별시 강서구 하늘길 70 (과해동),02-2660-7500,37.5619976,126.7963649
은평연세병원,서울특별시 은평구 연서로 177 (갈현동),02-388-8114,37.61469222,126.9174722
의료법인동신의료재단동신병원,"서울특별시 서대문구 연희로 272, 동신병원 본관동 (홍은동)",02-396-9161,37.58110608,126.9365833
의료법인서울효천의료재단에이치플러스양지병원,"서울특별시 관악구 남부순환로 1636, 양지병원 (신림동)",02-1877-8875,37.48436933,126.9325655
의료법인성화의료재단대한병원,"서울특별시 강북구 도봉로 301 (수유동, 대한병원)",02-903-3232,37.63547025,127.0226733
의료법인인봉의료재단영등포병원,서울특별시 영등포구 당산로31길 10 (당산동3가),02-2635-2809,37.52685809,126.895614
의료법인청구성심병원,서울특별시 은평구 통일로 873 (갈현동),02-350-3300,37.6207901,126.9195527
의료법인풍산의료재단동부제일병원,"서울특별시 중랑구 망우로 511, 동부제일병원 지하1~6층 (망우동)",02-437-5011,37.60088393,127.1095472
의료법인한전의료재단한일병원,"서울특별시 도봉구 우이천로 308, 한일병원 (쌍문동)",02-901-3114,37.64668485,127.0290583
이화여자대학교의과대학부속목동병원,서울특별시 양천구 안양천로 1071 (목동),02-2650-5114,37.53698185,126.8867439
이화여자대학교의과대학부속서울병원,"서울특별시 강서구 공항대로 260, 이화의대부속서울병원 (마곡동)",1522-7000,37.55726286,126.8362668
인제대학교상계백병원,"서울특별시 노원구 동일로 1342, 상계백병원 (상계동)",02-950-1114,37.64858199,127.0631157
인제대학교서울백병원,서울특별시 중구 마른내로 9 (저동2가),02-2270-0114,37.56482781,126.98867
재단법인베스티안재단베스티안서울병원,서울특별시 성동구 왕십리로 382 (하왕십리동),02-3452-7575,37.56511028,127.0280198
재단법인베스티안재단베스티안서울병원,"서울특별시 강남구 도곡로 429 (대치동, 베스티안병원 2층일부 제외)",02-3452-7575,37.49803346,127.0571975
재단법인아산사회복지재단서울아산병원,"서울특별시 송파구 올림픽로43길 88, 서울아산병원 (풍납동)",02-3010-3114,37.52517113,127.1093805
중앙대학교병원,서울특별시 동작구 흑석로 102 (흑석동),1800-1114,37.50603801,126.9604218
차의과학대학교강남차병원,"서울특별시 강남구 논현로 566, 강남차병원(역삼동650-9, 606-4, 605외2필지(지하7층~지하1층, 지상2층~7층)) (역삼동)",02-3468-3000,37.50703244,127.0347144
최원호병원,"서울특별시 은평구 서오릉로 45, 최원호병원 (녹번동)",02-1588-3797,37.60476959,126.9238558
학교법인가톨릭학원가톨릭대학교서울성모병원,서울특별시 서초구 반포대로 222 (반포동),215881511,37.50239362,127.0058606
학교법인고려중앙학원고려대학교의과대학부속병원(안암병원),"서울특별시 성북구 고려대로 73, 고려대병원 (안암동5가)",1577-0083,37.58737715,127.0262489
한강수병원,"서울특별시 영등포구 영등포로 83, 한강수병원 (양평동1가)",02-1800-7119,37.52238038,126.8909271
한국보훈복지의료공단중앙보훈병원,서울특별시 강동구 진황도로61길 53 (둔촌동),02-2225-1111,37.52846375,127.1479256
한국원자력의학원원자력병원,"서울특별시 노원구 노원로 75, 한국원자력의학원 (공릉동)",02-970-2114,37.62860681,127.0830177
한림대학교강남성심병원,"서울특별시 영등포구 신길로 1 (대림동, 강남성심병원)",02-829-5114,37.49324892,126.9087759
한림대학교한강성심병원,"서울특별시 영등포구 버드나루로7길 12 (영등포동7가, 한강성심병원)",02-2639-5114,37.52317658,126.9096919
한양대학교병원,서울특별시 성동구 왕십리로 222-1 (사근동),02-2290-8114,37.55858154,127.0457157
혜민병원,서울특별시 광진구 자양로 85 (자양동),02-2049-9000,37.53543771,127.0833987
홍익병원,"서울특별시 양천구 목동로 225, 홍익병원본관 (신정동)",02-2693-5555,37.52848172,126.8636405
희명병원,서울특별시 금천구 시흥대로 244 (시흥동),02-804-0002,37.45567154,126.9005625
동아대학교병원,서구 대신공원로 26,051-240-5300,35.12050997,129.0187498
인제대학교해운대백병원,해운대구 해운대로 875,051-797-0130,35.17325948,129.1821639
부산대학교병원,서구 구덕로 179,051-240-7158,35.10112888,129.0192443
고신대학교복음병원,서구 감천로 262,051-9906-119,35.08107807,129.0145128
인제대학교부산백병원,부산진구 복지로 75,051-890-6220,35.14645348,129.0205712
BHS한서병원,수영구 수영로 615,051-998-1118,35.16104695,129.1128819
좋은삼선병원,사상구 가야대로 326,051-310-9119,35.1501222,129.0076923
대동병원,동래구 충렬대로 187,051-550-9390,35.20430756,129.0802018
온종합병원,부산진구 가야대로 721,051-607-0129,35.15788503,129.0500994
메리놀병원,중구 중구로 121,051-461-2299,35.10765062,129.0329882
삼육부산병원,서구 대티로 170,051-600-7750,35.11206562,129.0109763
좋은문화병원,동구 범일로 119,051-630-0909,35.14078971,129.0590486
김원묵봉생기념병원,동구 중앙대로 401,051-664-4119,35.13087368,129.0505566
해동병원,영도구 태종로 133,051-410-6688,35.09193659,129.0438639
영도병원,영도구 태종로 85,051-419-7575,35.092242,129.0405264
춘해병원,부산진구 중앙대로 605,051-608-0119,35.1469497,129.0583806
동의병원,부산진구 양정로 62,051-850-8777,35.169949,129.0759208
광혜병원,동래구 충렬대로 96,051-504-2119,35.20696836,129.0711453
동래봉생병원,동래구 안연로 109번길 27,051-520-5600,35.19692759,129.0961072
부산성모병원,남구 용호로 232번길 25-14,051-933-7119,35.11043048,129.1092126
부민병원,북구 만덕대로 59,051-330-3128,35.21196445,129.011216
구포성심병원,북구 낙동대로 1786,051-330-2090,35.20967278,129.0045732
해운대부민병원,해운대구 해운대로 584,051-602-8119,35.1614208,129.1556545
부산광역시의료원,연제구 월드컵대로 359,051-607-2140,35.18743177,129.0601812
좋은강안병원,수영구 수영로 493,051-610-9119,35.15017251,129.1106007
부산보훈병원,사상구 백양대로 420,051-601-6180,35.15289186,129.0082523
동남권원자력의학원,기장군 장안읍 좌동길 40,051-720-5911,35.3218427,129.2443307
기장병원,기장군 기장읍 대청로72번길 6,051-723-2119,35.23581176,129.2167551
센텀종합병원,수영구 수영로 493,051-750-5119,35.15017251,129.1106007
갑을녹산병원,강서구 녹산산단 321로 24-8,051-974-8414,35.09056604,128.8533125
세웅병원,금정구 서동로 162,051-500-9700,35.21442672,129.1040737
베스티안부산병원,북구 화명대로 1,051-332-7573,35.23558347,129.0086179
효성시티병원,해운대구 해운대로 135,051-709-3119,35.18519238,129.1214655
세일병원,동구 중앙대로 317,051-460-5226,35.12484974,129.0445943
일신기독병원,동구 정공단로 27,051-630-0415,35.13577532,129.0544169
큐병원,사하구 낙동남로 1401,051-207-4044,35.10660328,128.9648751
빌리브세웅병원,동래구 충렬대로 455,051-550-1118,35.19593283,129.1082119
서부산센텀병원,사상구 새벽로 226(괘법동),051-329-3119,35.16121203,128.9845543
센텀종합병원,부산 수영구 수영로 677,051-750-5119,35.16625902,129.1145602
경기도의료원 수원병원,경기도 수원시 장안구 수성로245번길 69,888-0114,37.2918595,126.9963807
동수원병원,경기도 수원시 팔달구 중부대로 165,210-0114,37.27816751,127.0343648
명인의료재단 화홍병원,경기도 수원시 권선구 호매실로90번길 98,278-0119,37.2601268,126.9639084
